dataset,lags,horizon,instance_normalize,remove_constant,stride,seed,model,setting,range,covariate_mode,metric,value,reference_model,reference_value,improvement_pct
time/coastal_t_s_h_part11,504,168,True,False,512,1,chronos2/identity,504:168,long,identity,nmse,0.01811670606968821,chronos2/none,2.019070323018564,99.10272040239772
time/coastal_t_s_h_part11,504,168,True,False,512,1,chronos2/none,504:168,long,none,nmse,2.019070323018564,chronos2/none,2.019070323018564,0.0
time/coastal_t_s_h_part11,504,168,True,False,512,1,ts_icl/identity,504:168,long,identity,nmse,0.12373888589823359,ts_icl/none,1.9136452316616972,93.53386490604709
time/coastal_t_s_h_part11,504,168,True,False,512,1,ts_icl/none,504:168,long,none,nmse,1.9136452316616972,ts_icl/none,1.9136452316616972,0.0
time/coastal_t_s_h_part12,168,24,True,False,512,1,chronos2/identity,168:24,short,identity,nmse,0.014748712052823975,chronos2/none,0.4570509162110587,96.77307023578676
time/coastal_t_s_h_part12,168,24,True,False,512,1,chronos2/none,168:24,short,none,nmse,0.4570509162110587,chronos2/none,0.4570509162110587,0.0
time/coastal_t_s_h_part12,168,24,True,False,512,1,ts_icl/identity,168:24,short,identity,nmse,0.009512391594883714,ts_icl/none,0.48355429304453235,98.03281829326916
time/coastal_t_s_h_part12,168,24,True,False,512,1,ts_icl/none,168:24,short,none,nmse,0.48355429304453235,ts_icl/none,0.48355429304453235,0.0
time/coastal_t_s_h_part12,336,48,True,False,512,1,chronos2/identity,336:48,mid,identity,nmse,0.010266671773462332,chronos2/none,0.348246267224399,97.0518932319677
time/coastal_t_s_h_part12,336,48,True,False,512,1,chronos2/none,336:48,mid,none,nmse,0.348246267224399,chronos2/none,0.348246267224399,0.0
time/coastal_t_s_h_part12,336,48,True,False,512,1,ts_icl/identity,336:48,mid,identity,nmse,0.0007807499497613646,ts_icl/none,0.39501130542474266,99.80234744194932
time/coastal_t_s_h_part12,336,48,True,False,512,1,ts_icl/none,336:48,mid,none,nmse,0.39501130542474266,ts_icl/none,0.39501130542474266,0.0
time/coastal_t_s_h_part12,504,168,True,False,512,1,chronos2/identity,504:168,long,identity,nmse,0.029130352295059884,chronos2/none,1.9366766541276808,98.49585875716663
time/coastal_t_s_h_part12,504,168,True,False,512,1,chronos2/none,504:168,long,none,nmse,1.9366766541276808,chronos2/none,1.9366766541276808,0.0
