dataset,model,metric,mean_value,mean_reference_value,mean_improvement_pct,configurations,reference_models
time/coastal_t_s_h_part19,ts_icl,nmse,0.8375863082706928,0.7651491616542141,-8.028342491658188,2,chronos2
time/coastal_t_s_h_part20,chronos2,nmse,1.6050547102931887,1.6050547102931887,0.0,2,chronos2
time/coastal_t_s_h_part20,chronos_bolt,nmse,1.8805962014999804,1.6050547102931887,-16.902485605535865,2,chronos2
time/coastal_t_s_h_part20,chronos_t5,nmse,6.8396483942615856,1.6050547102931887,-329.3133446496803,2,chronos2
time/coastal_t_s_h_part20,ts_icl,nmse,1.717494584055561,1.6050547102931887,-6.657924010654345,2,chronos2
time/coastal_t_s_h_part21,chronos2,nmse,1.1417886407358484,1.1417886407358484,0.0,2,chronos2
time/coastal_t_s_h_part21,chronos_bolt,nmse,1.1763441978865081,1.1417886407358484,-3.1297472314097843,2,chronos2
time/coastal_t_s_h_part21,chronos_t5,nmse,10.928696528897577,1.1417886407358484,-854.052640446818,2,chronos2
time/coastal_t_s_h_part21,ts_icl,nmse,1.1911429458829974,1.1417886407358484,-4.415056539483993,2,chronos2
time/coastal_t_s_h_part22,chronos2,nmse,1.7243771120940368,1.7243771120940368,0.0,2,chronos2
time/coastal_t_s_h_part22,chronos_bolt,nmse,1.761884245366134,1.7243771120940368,5.071993818247971,2,chronos2
time/coastal_t_s_h_part22,chronos_t5,nmse,7.7687956614488805,1.7243771120940368,-498.7523882315331,2,chronos2
time/coastal_t_s_h_part22,ts_icl,nmse,1.7458711563333593,1.7243771120940368,0.9677315439168592,2,chronos2
time/coastal_t_s_h_part23,chronos2,nmse,1.456164922978219,1.456164922978219,0.0,2,chronos2
time/coastal_t_s_h_part23,chronos_bolt,nmse,1.8480633300856597,1.456164922978219,-39.67430938068722,2,chronos2
time/coastal_t_s_h_part23,chronos_t5,nmse,3.758764498894813,1.456164922978219,-224.75205952783054,2,chronos2
time/coastal_t_s_h_part23,ts_icl,nmse,1.4291931837620464,1.456164922978219,-1.5773448603723539,2,chronos2
time/cphl_h_part01,chronos2,nmse,1.4018597334623337,1.4018597334623337,0.0,2,chronos2
time/cphl_h_part01,chronos_bolt,nmse,1.3778892688453197,1.4018597334623337,-2.300636414496083,2,chronos2
time/cphl_h_part01,chronos_t5,nmse,1.382759413868189,1.4018597334623337,3.606523975726739,2,chronos2
time/cphl_h_part01,ts_icl,nmse,1.2684941433370114,1.4018597334623337,3.0773142605909123,2,chronos2
time/cphl_h_part02,chronos2,nmse,2.088719742000103,2.088719742000103,0.0,2,chronos2
time/cphl_h_part02,chronos_bolt,nmse,2.3124139487743376,2.088719742000103,-6.459135077900616,2,chronos2
time/cphl_h_part02,chronos_t5,nmse,2.468222563713789,2.088719742000103,-8.671835238413163,2,chronos2
time/cphl_h_part02,ts_icl,nmse,2.1688201788812878,2.088719742000103,-4.2525047794357835,2,chronos2
time/crypto_d,chronos2,nmse,1.1691702733320806,1.1691702733320806,0.0,2,chronos2
time/crypto_d,chronos_bolt,nmse,1.275440067491824,1.1691702733320806,-14.983484741748256,2,chronos2
time/crypto_d,chronos_t5,nmse,1.332597033935599,1.1691702733320806,-24.407022399736167,2,chronos2
time/crypto_d,ts_icl,nmse,2.370487069788699,1.1691702733320806,-87.15076715433426,2,chronos2
time/current_velocity_h_part01,chronos2,nmse,0.6795147685506553,0.6795147685506553,0.0,2,chronos2
time/current_velocity_h_part01,chronos_bolt,nmse,1.1048772321427587,0.6795147685506553,-65.40317857082917,2,chronos2
time/current_velocity_h_part01,chronos_t5,nmse,0.8044260889809165,0.6795147685506553,-25.58794574403055,2,chronos2
time/current_velocity_h_part01,ts_icl,nmse,0.6475685106297197,0.6795147685506553,-5.12578283758772,2,chronos2
time/current_velocity_h_part02,chronos2,nmse,0.567394535859219,0.567394535859219,0.0,2,chronos2
time/current_velocity_h_part02,chronos_bolt,nmse,1.2616462096554675,0.567394535859219,-128.11935795109548,2,chronos2
time/current_velocity_h_part02,chronos_t5,nmse,1.1988645856553275,0.567394535859219,-84.6693236806085,2,chronos2
time/current_velocity_h_part02,ts_icl,nmse,0.7778048700032135,0.567394535859219,-28.368883382610818,2,chronos2
time/current_velocity_h_part03,chronos2,nmse,0.8349172113618504,0.8349172113618504,0.0,2,chronos2
time/current_velocity_h_part03,chronos_bolt,nmse,0.906051875712971,0.8349172113618504,-9.991171210046408,2,chronos2
time/current_velocity_h_part03,chronos_t5,nmse,1.041647751401696,0.8349172113618504,-28.063332066486318,2,chronos2
time/current_velocity_h_part03,ts_icl,nmse,0.7557382309395406,0.8349172113618504,8.151458494733992,2,chronos2
time/current_velocity_h_part04,chronos2,nmse,1.1969021131948532,1.1969021131948532,0.0,2,chronos2
time/current_velocity_h_part04,chronos_bolt,nmse,1.3939000020165824,1.1969021131948532,-16.48069793300531,2,chronos2
time/current_velocity_h_part04,chronos_t5,nmse,1.5366787434624576,1.1969021131948532,-28.338728049168164,2,chronos2
time/current_velocity_h_part04,ts_icl,nmse,1.1955636936170912,1.1969021131948532,0.0986794078617873,2,chronos2
time/current_velocity_h_part05,chronos2,nmse,0.8119303962250275,0.8119303962250275,0.0,2,chronos2
time/current_velocity_h_part05,chronos_bolt,nmse,1.0340268994422837,0.8119303962250275,-26.951720445262485,2,chronos2
time/current_velocity_h_part05,chronos_t5,nmse,1.0283302368009808,0.8119303962250275,-30.501745490986693,2,chronos2
time/current_velocity_h_part05,ts_icl,nmse,0.811605834039963,0.8119303962250275,-1.2759752259224373,2,chronos2
time/current_velocity_h_part06,chronos2,nmse,0.8100329108225803,0.8100329108225803,0.0,2,chronos2
time/current_velocity_h_part06,chronos_bolt,nmse,1.001837564034698,0.8100329108225803,-21.48612483412746,2,chronos2
time/current_velocity_h_part06,chronos_t5,nmse,1.0018829408101737,0.8100329108225803,-21.020093907550034,2,chronos2
time/current_velocity_h_part06,ts_icl,nmse,0.7983827121788636,0.8100329108225803,-0.5386090212725239,2,chronos2
time/current_velocity_h_part07,chronos2,nmse,1.055726348189637,1.055726348189637,0.0,2,chronos2
time/current_velocity_h_part07,chronos_bolt,nmse,1.4358639525404822,1.055726348189637,-37.40364984381078,2,chronos2
time/current_velocity_h_part07,chronos_t5,nmse,1.2763491604321948,1.055726348189637,-27.404102524411172,2,chronos2
time/current_velocity_h_part07,ts_icl,nmse,1.1407056725972022,1.055726348189637,-11.086070410644554,2,chronos2
time/current_velocity_h_part08,chronos2,nmse,0.9529753796135385,0.9529753796135385,0.0,2,chronos2
time/current_velocity_h_part08,chronos_bolt,nmse,1.0600585465629895,0.9529753796135385,-11.30373067279046,2,chronos2
time/current_velocity_h_part08,chronos_t5,nmse,1.0994498499979575,0.9529753796135385,-14.168495156480098,2,chronos2
time/current_velocity_h_part08,ts_icl,nmse,0.8631849888867389,0.9529753796135385,9.389054526144864,2,chronos2
time/current_velocity_h_part09,chronos2,nmse,0.8710697847344573,0.8710697847344573,0.0,2,chronos2
time/current_velocity_h_part09,chronos_bolt,nmse,1.0751328072288917,0.8710697847344573,-23.424931415409155,2,chronos2
time/current_velocity_h_part09,chronos_t5,nmse,1.2584061559348827,0.8710697847344573,-44.473673337836516,2,chronos2
time/current_velocity_h_part09,ts_icl,nmse,0.860335740807747,0.8710697847344573,1.2357410793742691,2,chronos2
time/current_velocity_h_part10,chronos2,nmse,0.9780125574814895,0.9780125574814895,0.0,2,chronos2
time/current_velocity_h_part10,chronos_bolt,nmse,1.1535626686813814,0.9780125574814895,-20.307515100347633,2,chronos2
time/current_velocity_h_part10,chronos_t5,nmse,1.20288139014017,0.9780125574814895,-32.30864226610478,2,chronos2
time/current_velocity_h_part10,ts_icl,nmse,0.9464143573173455,0.9780125574814895,-0.03177719478495167,2,chronos2
time/current_velocity_h_part11,chronos2,nmse,0.5837680958433165,0.5837680958433165,0.0,2,chronos2
time/current_velocity_h_part11,chronos_bolt,nmse,0.9439236818561478,0.5837680958433165,-58.773200514505874,2,chronos2
time/current_velocity_h_part11,chronos_t5,nmse,0.8206551917311218,0.5837680958433165,-38.34969824854262,2,chronos2
time/current_velocity_h_part11,ts_icl,nmse,0.6033854704675456,0.5837680958433165,-3.035664363920031,2,chronos2
time/current_velocity_h_part12,chronos2,nmse,0.6645675261504949,0.6645675261504949,0.0,2,chronos2
time/current_velocity_h_part12,chronos_bolt,nmse,1.049689193442464,0.6645675261504949,-57.49375433742907,2,chronos2
time/current_velocity_h_part12,chronos_t5,nmse,0.8654302702595791,0.6645675261504949,-29.73873845645139,2,chronos2
time/current_velocity_h_part12,ts_icl,nmse,0.6767615698898832,0.6645675261504949,-2.020718044578309,2,chronos2
time/current_velocity_h_part13,chronos2,nmse,0.9223656430323091,0.9223656430323091,0.0,2,chronos2
time/current_velocity_h_part13,chronos_bolt,nmse,1.1590350583816569,0.9223656430323091,-26.404118716330437,2,chronos2
time/current_velocity_h_part13,chronos_t5,nmse,1.1879208428371284,0.9223656430323091,-31.105083111430083,2,chronos2
time/current_velocity_h_part13,ts_icl,nmse,0.951667998296519,0.9223656430323091,-4.9542344324949665,2,chronos2
time/current_velocity_h_part14,chronos2,nmse,1.1597876753929692,1.1597876753929692,0.0,2,chronos2
time/current_velocity_h_part14,chronos_bolt,nmse,1.2918663000125283,1.1597876753929692,-10.961564172579344,2,chronos2
time/current_velocity_h_part14,chronos_t5,nmse,1.4668039062060416,1.1597876753929692,-26.827596237111635,2,chronos2
time/current_velocity_h_part14,ts_icl,nmse,1.134501456853468,1.1597876753929692,1.9700810099986694,2,chronos2
time/current_velocity_h_part15,chronos2,nmse,0.869183990184129,0.869183990184129,0.0,2,chronos2
time/current_velocity_h_part15,chronos_bolt,nmse,0.9836403764784336,0.869183990184129,-14.652509466645355,2,chronos2
time/current_velocity_h_part15,chronos_t5,nmse,0.914852084281544,0.869183990184129,-8.640945258017556,2,chronos2
