dataset,lags,horizon,setting,metric,best_baseline,best_baseline_value,chronos_value,chronos_win_pct,tie_pct,windows
time/current_velocity_h_part17,504,168,504:168,mase,lookback,4.279986833532651,3.166318063934644,87.5,0.0,24
time/current_velocity_h_part18,168,24,168:24,mse,repeat,13.666522878581207,6.8692065893673995,66.66666666666666,0.0,30
time/current_velocity_h_part18,168,24,168:24,mae,repeat,1.3214968220641217,0.8309040830587037,66.66666666666666,0.0,30
time/current_velocity_h_part18,168,24,168:24,nmse,expected,0.9959455059220393,0.677123021458586,66.66666666666666,0.0,30
time/current_velocity_h_part18,168,24,168:24,nmae,expected,0.764287697772185,0.5673620469868184,73.33333333333333,0.0,30
time/current_velocity_h_part18,168,24,168:24,mase,expected,3.7685819069544473,3.0597937842210134,73.33333333333333,0.0,30
time/current_velocity_h_part18,336,48,336:48,mse,repeat,8.178449226855204,4.720165718400123,80.0,0.0,30
time/current_velocity_h_part18,336,48,336:48,mae,repeat,0.9793064584722743,0.6922108167898842,80.0,0.0,30
time/current_velocity_h_part18,336,48,336:48,nmse,expected,1.4334819567700228,0.757022761926055,63.33333333333333,0.0,30
time/current_velocity_h_part18,336,48,336:48,nmae,expected,0.8643459921081861,0.5989718168973923,70.0,0.0,30
time/current_velocity_h_part18,336,48,336:48,mase,persistence,4.827957157293955,3.7260576665401457,73.33333333333333,0.0,30
time/current_velocity_h_part18,504,168,504:168,mse,lookback,23.072374827657995,20.230036487934473,79.16666666666666,0.0,24
time/current_velocity_h_part18,504,168,504:168,mae,lookback,1.6901166377744328,1.4180419365099322,79.16666666666666,0.0,24
time/current_velocity_h_part18,504,168,504:168,nmse,expected,2.296803545206785,2.248271637906631,62.5,0.0,24
time/current_velocity_h_part18,504,168,504:168,nmae,expected,1.1056294019023578,0.986647468060255,70.83333333333334,0.0,24
time/current_velocity_h_part18,504,168,504:168,mase,expected,6.797852173447609,6.102994027237098,70.83333333333334,0.0,24
time/current_velocity_h_part19,168,24,168:24,mse,persistence,6.100171990472836,4.5504955846079005,70.0,0.0,30
time/current_velocity_h_part19,168,24,168:24,mae,persistence,0.8721882463316433,0.7253387521098679,66.66666666666666,0.0,30
time/current_velocity_h_part19,168,24,168:24,nmse,repeat,1.1243340079983075,0.5886097782912354,86.66666666666667,0.0,30
time/current_velocity_h_part19,168,24,168:24,nmae,repeat,0.7187013496955236,0.5277315951883793,86.66666666666667,0.0,30
time/current_velocity_h_part19,168,24,168:24,mase,persistence,3.526830886801084,2.6927641381820044,66.66666666666666,0.0,30
time/current_velocity_h_part19,336,48,336:48,mse,repeat,11.864075369353523,13.461262592632465,75.0,0.0,24
time/current_velocity_h_part19,336,48,336:48,mae,repeat,1.1691023474316655,1.1324317040853202,70.83333333333334,0.0,24
time/current_velocity_h_part19,336,48,336:48,nmse,repeat,1.2772034869218867,0.9670779037599763,75.0,0.0,24
time/current_velocity_h_part19,336,48,336:48,nmae,repeat,0.8061761651188135,0.653761708488067,70.83333333333334,0.0,24
time/current_velocity_h_part19,336,48,336:48,mase,persistence,5.553468356529872,4.664564938594897,70.83333333333334,0.0,24
time/current_velocity_h_part19,504,168,504:168,mse,persistence,19.989105582078235,14.419827124786783,75.0,0.0,24
time/current_velocity_h_part19,504,168,504:168,mae,persistence,1.4144515193960008,1.2991173451640254,75.0,0.0,24
time/current_velocity_h_part19,504,168,504:168,nmse,expected,1.6400970940788586,1.3374386153494318,58.333333333333336,0.0,24
time/current_velocity_h_part19,504,168,504:168,nmae,expected,0.9083905294537544,0.8051842153072357,66.66666666666666,0.0,24
time/current_velocity_h_part19,504,168,504:168,mase,expected,6.572597915927569,6.584722265601158,66.66666666666666,0.0,24
time/current_velocity_h_part20,168,24,168:24,mse,repeat,6.889532727080788,5.790769209338508,75.75757575757575,0.0,66
time/current_velocity_h_part20,168,24,168:24,mae,repeat,0.9244717659082997,0.822553442540635,75.75757575757575,0.0,66
time/current_velocity_h_part20,168,24,168:24,nmse,expected,1.1133824921015538,0.8292152379272562,72.72727272727273,0.0,66
time/current_velocity_h_part20,168,24,168:24,nmae,expected,0.8385890521334879,0.6924266361377456,74.24242424242425,0.0,66
time/current_velocity_h_part20,168,24,168:24,mase,repeat,2.2406239861791786,1.7956647231723324,75.75757575757575,0.0,66
time/current_velocity_h_part20,336,48,336:48,mse,repeat,17.376299220856268,12.712722081055084,90.9090909090909,0.0,66
time/current_velocity_h_part20,336,48,336:48,mae,repeat,1.4093438013717814,1.23863533335371,87.87878787878788,0.0,66
