dataset,lags,horizon,covariate_mode,instance_normalize,remove_constant,stride,seed,setting,range,model,metric,value,reference_model,reference_value,improvement_pct
time/coastal_t_s_h_part06,504,168,none,True,False,512,1,504:168,long,lookback,nmse,2.7306399908330707,persistence,1.278011538916164,-113.66317186375557
time/coastal_t_s_h_part06,504,168,none,True,False,512,1,504:168,long,persistence,nmse,1.278011538916164,persistence,1.278011538916164,0.0
time/coastal_t_s_h_part06,504,168,none,True,False,512,1,504:168,long,repeat,nmse,2.7306399908330707,persistence,1.278011538916164,-113.66317186375557
time/coastal_t_s_h_part07,168,24,none,True,False,512,1,168:24,short,chronos2,nmse,469850849295887.75,repeat,469850849295887.9,2.6604187304827332e-14
time/coastal_t_s_h_part07,168,24,none,True,False,512,1,168:24,short,expected,nmse,469850849295888.56,repeat,469850849295887.9,-1.4632303017655033e-13
time/coastal_t_s_h_part07,168,24,none,True,False,512,1,168:24,short,lookback,nmse,469850849295890.2,repeat,469850849295887.9,-4.921774651393056e-13
time/coastal_t_s_h_part07,168,24,none,True,False,512,1,168:24,short,persistence,nmse,469850849295888.1,repeat,469850849295887.9,-5.3208374609654664e-14
time/coastal_t_s_h_part07,168,24,none,True,False,512,1,168:24,short,repeat,nmse,469850849295887.9,repeat,469850849295887.9,0.0
time/coastal_t_s_h_part07,336,48,none,True,False,512,1,336:48,mid,chronos2,nmse,0.3723163204113613,persistence,0.4870140543828408,23.55121642574114
time/coastal_t_s_h_part07,336,48,none,True,False,512,1,336:48,mid,expected,nmse,1.6474551868547376,persistence,0.4870140543828408,-238.27672364454526
time/coastal_t_s_h_part07,336,48,none,True,False,512,1,336:48,mid,lookback,nmse,2.401573017736276,persistence,0.4870140543828408,-393.12191221660396
time/coastal_t_s_h_part07,336,48,none,True,False,512,1,336:48,mid,persistence,nmse,0.4870140543828408,persistence,0.4870140543828408,0.0
time/coastal_t_s_h_part07,336,48,none,True,False,512,1,336:48,mid,repeat,nmse,0.8055831240024418,persistence,0.4870140543828408,-65.41270559908206
time/coastal_t_s_h_part07,504,168,none,True,False,512,1,504:168,long,chronos2,nmse,0.774544852070115,persistence,0.8768914178013801,11.671520972103648
time/coastal_t_s_h_part07,504,168,none,True,False,512,1,504:168,long,expected,nmse,1.5718371154818063,persistence,0.8768914178013801,-79.25105475691113
time/coastal_t_s_h_part07,504,168,none,True,False,512,1,504:168,long,lookback,nmse,1.1475364789366722,persistence,0.8768914178013801,-30.864147560467334
time/coastal_t_s_h_part07,504,168,none,True,False,512,1,504:168,long,persistence,nmse,0.8768914178013801,persistence,0.8768914178013801,0.0
time/coastal_t_s_h_part07,504,168,none,True,False,512,1,504:168,long,repeat,nmse,1.1475364789366722,persistence,0.8768914178013801,-30.864147560467334
time/coastal_t_s_h_part08,168,24,none,True,False,512,1,168:24,short,chronos2,nmse,1.2822942119656187,persistence,1.6494072955666166,22.257272936026666
time/coastal_t_s_h_part08,168,24,none,True,False,512,1,168:24,short,expected,nmse,1.6664882826082634,persistence,1.6494072955666166,-1.0355833327255326
time/coastal_t_s_h_part08,168,24,none,True,False,512,1,168:24,short,lookback,nmse,3.15784640565063,persistence,1.6494072955666166,-91.4534035431087
time/coastal_t_s_h_part08,168,24,none,True,False,512,1,168:24,short,persistence,nmse,1.6494072955666166,persistence,1.6494072955666166,0.0
time/coastal_t_s_h_part08,168,24,none,True,False,512,1,168:24,short,repeat,nmse,2.2933322462168606,persistence,1.6494072955666166,-39.03977825131653
time/coastal_t_s_h_part08,336,48,none,True,False,512,1,336:48,mid,chronos2,nmse,1.9830574259161948,expected,2.0704312890768053,4.2200803099131114
time/coastal_t_s_h_part08,336,48,none,True,False,512,1,336:48,mid,expected,nmse,2.0704312890768053,expected,2.0704312890768053,0.0
time/coastal_t_s_h_part08,336,48,none,True,False,512,1,336:48,mid,lookback,nmse,2.95373264948527,expected,2.0704312890768053,-42.66267444220881
time/coastal_t_s_h_part08,336,48,none,True,False,512,1,336:48,mid,persistence,nmse,2.8932670672734577,expected,2.0704312890768053,-39.742240302190886
time/coastal_t_s_h_part08,336,48,none,True,False,512,1,336:48,mid,repeat,nmse,2.6606016725301744,expected,2.0704312890768053,-28.504707524803834
time/coastal_t_s_h_part08,504,168,none,True,False,512,1,504:168,long,chronos2,nmse,1.6377504621942838,expected,1.8911520749330522,13.399324998638141
time/coastal_t_s_h_part08,504,168,none,True,False,512,1,504:168,long,expected,nmse,1.8911520749330522,expected,1.8911520749330522,0.0
time/coastal_t_s_h_part08,504,168,none,True,False,512,1,504:168,long,lookback,nmse,2.624684727191925,expected,1.8911520749330522,-38.78760793390138
time/coastal_t_s_h_part08,504,168,none,True,False,512,1,504:168,long,persistence,nmse,2.1192841798067095,expected,1.8911520749330522,-12.063128497042381
time/coastal_t_s_h_part08,504,168,none,True,False,512,1,504:168,long,repeat,nmse,2.624684727191925,expected,1.8911520749330522,-38.78760793390138
time/coastal_t_s_h_part09,168,24,none,True,False,512,1,168:24,short,chronos2,nmse,1.2750924263488164,persistence,1.7966758992635843,29.030470833863408
time/coastal_t_s_h_part09,168,24,none,True,False,512,1,168:24,short,expected,nmse,2.0806226775501715,persistence,1.7966758992635843,-15.80400663263588
time/coastal_t_s_h_part09,168,24,none,True,False,512,1,168:24,short,lookback,nmse,3.3760938554099114,persistence,1.7966758992635843,-87.90778330102239
time/coastal_t_s_h_part09,168,24,none,True,False,512,1,168:24,short,persistence,nmse,1.7966758992635843,persistence,1.7966758992635843,0.0
time/coastal_t_s_h_part09,168,24,none,True,False,512,1,168:24,short,repeat,nmse,1.9071786527832348,persistence,1.7966758992635843,-6.150399944972995
time/coastal_t_s_h_part09,336,48,none,True,False,512,1,336:48,mid,chronos2,nmse,1.2926644597089652,expected,1.4929225706692897,13.413831024776265
time/coastal_t_s_h_part09,336,48,none,True,False,512,1,336:48,mid,expected,nmse,1.4929225706692897,expected,1.4929225706692897,0.0
time/coastal_t_s_h_part09,336,48,none,True,False,512,1,336:48,mid,lookback,nmse,3.0227892723950474,expected,1.4929225706692897,-102.47461802656689
time/coastal_t_s_h_part09,336,48,none,True,False,512,1,336:48,mid,persistence,nmse,1.6444192560333195,expected,1.4929225706692897,-10.147658581925826
